Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss,,
9,80,49.10458412,47.68791745,2.781247114,0.735976153,69.54322159,72.29322159,3.316940412,1.682026271,0,0,0,1,,
10,80,50.46717625,48.05050959,3.080768393,1.191715842,69.83634923,72.41968257,2.607561382,1.566010425,1,0,0,1,,
11,80,51.38644197,48.2197753,2.476360309,1.104594835,70.21001553,72.96001553,3.184113675,0.441757986,1,0,0,0,,
12,7,49.28656258,47.86989592,3.372168348,1.358833659,70.36741152,72.03407818,2.908460569,1.478645476,0,0,0,0,,
13,21,50.65405266,47.98738599,2.502000238,0.420096239,69.73958809,72.40625475,2.371194087,1.497427418,0,0,0,0,,
14,9,49.48594035,47.90260702,3.153203439,0.751314395,70.05607017,72.22273684,2.754851623,1.498215339,0,0,0,0,,
15,21,50.14674797,47.81341464,3.371352075,0.385170686,68.79004566,72.45671233,3.47109023,1.38171679,0,0,0,0,,
16,80,50.71623977,48.2995731,3.080784312,1.498104083,69.28204486,72.53204486,2.7764422,0.776533819,1,0,0,0,,
17,80,49.30492293,48.05492293,2.545514603,0.440215886,68.32427409,72.15760743,2.87309645,2.079136888,1,0,0,1,,
18,10,51.47832408,47.97832408,2.777992566,0.479154308,70.88787438,72.63787438,3.019302031,0.471054219,0,0,0,0,,
19,80,49.47433016,48.14099683,3.096495328,0.908863725,69.42127614,72.3379428,3.003244669,1.795411687,1,0,0,1,,
20,7,50.44243554,47.94243554,3.199057559,0.741391537,70.38703721,72.63703721,3.173544381,0.98600967,0,0,0,0,,
21,80,50.67590881,48.00924214,1.887609001,0.960925826,70.62054698,72.37054698,2.78370112,1.936755385,1,0,0,1,,
22,80,50.05518252,48.05518252,3.229242001,0.583601601,69.63378249,72.13378249,2.473097786,1.713564983,1,0,0,1,,
23,9,49.19800189,47.94800189,2.066267112,0.875841824,70.14519769,72.97853102,3.118787494,0.604253502,0,0,0,0,,
24,80,49.97959619,48.22959619,2.546641679,1.296309911,69.51910355,72.60243688,2.677315869,0.718144246,1,0,0,0,,
25,80,50.29849684,47.88183018,1.332195158,0.557346577,69.55676823,72.39010156,2.771370068,2.113623158,0,0,0,1,,
26,8,50.70909534,47.95909534,3.263285661,0.741099539,71.03189529,72.86522862,2.753997948,0.938747831,0,0,0,0,,
27,80,51.45769708,48.20769708,1.888686339,1.105215622,69.90430411,72.48763744,2.528431902,0.939762899,1,0,0,0,,
28,80,51.00766209,48.34099542,2.634257902,1.949567577,70.30074376,72.30074376,3.261709955,1.864075273,1,1,0,1,,
29,7,49.87187002,47.95520336,2.969220545,1.129096222,71.12537538,72.45870871,2.712378525,0.915835558,0,0,0,0,,
30,80,49.81191303,48.06191303,2.154376962,1.076703134,70.24789052,72.49789052,2.914308461,1.384152833,1,0,0,0,,
31,22,49.20518083,47.87184749,3.062023562,0.617777833,69.17653831,72.34320498,3.132002857,1.484880377,0,0,0,0,,
32,80,51.807792,48.47445867,2.236758675,1.515495819,70.07738467,72.99405134,3.057268201,0.34556818,1,0,0,0,,
33,80,50.2473356,48.08066893,3.015454097,0.88785387,69.43610951,72.26944284,2.457957724,2.137794722,1,0,0,1,,
34,80,51.41641868,47.91641868,2.517319524,0.81686544,69.54935691,72.21602358,2.575371506,1.635211508,0,0,0,1,,
35,80,52.1892595,48.10592617,2.451423964,0.920912723,69.75210045,72.83543379,2.429595868,0.49573028,1,0,0,0,,
36,10,50.68161987,47.93161987,2.949169502,0.868325352,71.20535665,72.78868998,3.125867549,0.999199688,0,0,0,0,,
37,12,50.69959383,47.94959383,2.832659409,0.760480766,69.91313351,72.91313351,3.256297679,0.594666704,0,0,0,0,,
38,10,50.99931052,47.99931052,2.604948414,0.695421275,70.06457137,72.06457137,2.442194236,1.39037084,0,0,0,0,,
39,80,48.50083794,48.50083794,2.703940522,1.452328895,69.39797414,72.14797414,3.066210784,1.784903912,1,0,0,1,,
40,9,49.85457922,47.93791256,3.084607812,0.677855642,70.73178432,72.81511765,2.851398638,1.07462229,0,0,0,0,,
41,7,50.07238564,47.73905231,3.44164342,1.207370129,71.05879517,72.3921285,3.098731427,1.466796808,0,0,0,0,,
42,80,49.42681021,48.01014354,2.462388008,0.804706521,72.88363379,73.05030046,2.277323509,0.431896326,1,0,1,0,,
43,23,49.34363251,47.76029917,2.477052681,0.586301024,69.00862017,72.67528684,2.940613144,1.355056673,0,0,0,0,,
44,80,49.92804434,48.42804434,3.252213115,1.78732987,70.26266329,72.51266329,2.037512261,0.988128426,1,1,0,0,,
45,20,49.67272027,47.92272027,3.117588045,0.687090569,71.40916334,72.49249668,2.205829439,1.411888556,0,0,0,0,,
46,10,49.6451652,47.97849853,3.178747567,1.31002542,69.96004289,72.21004289,1.959422818,1.469385015,0,0,0,0,,
47,80,49.94664637,48.19664637,2.528706362,0.995406142,68.720537,72.470537,2.431357967,1.115014134,1,0,0,0,,
48,80,50.29298506,48.37631839,3.042040074,1.68302059,68.68636957,72.35303624,2.807845805,1.95185675,1,0,0,1,,
49,7,50.33796636,47.9212997,2.803742502,1.21254808,70.59225105,72.59225105,2.197612892,1.36905875,0,0,0,0,,
50,80,50.93079301,48.18079301,2.873854811,1.072201096,69.74349851,72.91016518,2.652294108,0.354988358,1,0,0,0,,
