Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
50,80,49.8697161652,48.0363828319,3.25359872359,1.64911768805,69.9595631026,71.7095631026,3.27165509426,2.60990458177,1,0,1,1
51,8,49.5568085841,47.9734752508,2.55798012094,1.34188497852,70.7640508754,72.5973842087,2.48186107173,1.47434203538,0,0,0,0
52,6,49.9585080917,47.9585080917,2.93273868064,1.17035944436,69.7017192319,72.4517192319,2.96390894812,0.860065164553,0,0,0,0
53,80,50.4238459557,47.9238459557,2.67350986993,0.717529433338,69.6610022082,71.8276688749,2.54817364127,2.23479215031,0,0,1,1
54,80,50.7798484248,48.1965150915,3.09227513282,1.61468508893,69.0599700435,71.7266367102,2.56717326129,2.25389473441,1,0,1,1
55,80,50.8180094536,48.2346761203,2.99729221412,1.8105460252,71.5338534367,73.11718677,2.87296704215,0.887287357435,1,1,1,0
56,22,50.9264474331,47.6764474331,2.26406287507,0.472595573224,70.1303430582,72.3803430582,2.86971800024,1.43059383881,0,0,0,0
57,80,50.3522621389,48.1022621389,3.16437462841,1.75565748058,70.6127624784,72.1960958117,3.01624161648,2.1571259946,1,1,0,1
58,80,50.0134190131,48.3467523464,2.79799337291,1.90309314055,69.4859329649,72.1525996316,2.62582666865,1.23321322778,1,1,0,0
59,8,50.4943332243,47.9943332243,3.03055838732,0.79342330753,71.3103564113,72.7270230779,1.93264527989,0.380424250392,0,0,0,0
60,80,49.8239302237,48.407263557,2.68067021541,1.70795841239,70.4275630031,72.5942296697,3.0232613369,0.94484186171,1,1,0,0
61,80,50.3833239737,48.1333239737,3.05535578913,1.44968131623,69.1826869483,71.6826869483,2.75505318673,1.9045938025,1,0,1,1
62,7,51.0821482218,47.9988148885,3.04516627526,0.783578029856,71.0851608743,72.3351608743,2.53590862102,0.845901900828,0,0,0,0
63,80,50.464286934,48.1309536007,2.7920396523,2.04140535524,69.5909876958,71.9243210292,3.16615659811,2.19849382888,1,1,1,1
64,10,50.8167490537,47.9834157204,3.14108435483,0.864634234386,69.2370600362,72.0703933695,2.21656652151,1.13722597672,0,0,0,0
65,80,50.3952835824,48.061950249,3.15447286628,1.83896010773,69.7111954136,72.044528747,2.19050058928,1.20724477012,1,1,0,0
